,date,open,high,low,close,Adj Close,volume,DATE,Predicted
788,2017-02-17,134.08999633789062,133.1699981689453,133.5,133.52999877929688,12276500,133.52999877929688,2017-02-17,151.71250205993653
789,2017-02-21,133.91000366210938,132.89999389648438,133.5,133.72000122070312,14759100,133.72000122070312,2017-02-21,150.68750020345053
795,2017-03-01,137.47999572753906,136.3000030517578,136.47000122070312,137.4199981689453,16257000,137.4199981689453,2017-03-01,159.48311788940433
797,2017-03-03,137.3300018310547,136.0800018310547,136.6300048828125,137.1699981689453,11160600,137.1699981689453,2017-03-03,154.42714114379885
798,2017-03-06,137.8300018310547,136.50999450683594,136.8800048828125,137.4199981689453,12748200,137.4199981689453,2017-03-06,159.48311788940433
800,2017-03-08,137.99000549316406,137.0500030517578,137.14999389648438,137.72000122070312,10184500,137.72000122070312,2017-03-08,167.41720809427898
802,2017-03-10,139.49000549316406,138.22000122070312,138.91000366210938,138.7899932861328,16314100,138.7899932861328,2017-03-10,157.99431605021158
810,2017-03-22,139.7899932861328,137.60000610351562,137.92999267578125,139.58999633789062,17055400,139.58999633789062,2017-03-22,154.9902985127767
817,2017-03-31,142.6300048828125,141.88999938964844,142.30999755859375,142.0500030517578,11478300,142.0500030517578,2017-03-31,153.79653335571288
820,2017-04-05,143.44000244140625,141.2899932861328,142.25999450683594,141.85000610351562,17158100,141.85000610351562,2017-04-05,163.52473536173503
824,2017-04-11,141.02999877929688,138.80999755859375,140.8000030517578,139.9199981689453,16638100,139.9199981689453,2017-04-11,150.1454332478841
828,2017-04-18,141.91000366210938,140.61000061035156,141.27000427246094,140.9600067138672,14807500,140.9600067138672,2017-04-18,153.300603129069
829,2017-04-19,143.0399932861328,141.27000427246094,141.35000610351562,142.27000427246094,15563900,142.27000427246094,2017-04-19,156.28426849365235
832,2017-04-24,145.6699981689453,144.33999633789062,144.9600067138672,145.47000122070312,14407200,145.47000122070312,2017-04-24,172.26943725585937
833,2017-04-25,147.14999389648438,145.7899932861328,145.7899932861328,146.49000549316406,17767500,146.49000549316406,2017-04-25,159.35159622192384
835,2017-04-27,147.75,146.13999938964844,146.6699981689453,147.6999969482422,11275100,147.6999969482422,2017-04-27,171.087466990153
840,2017-05-04,151.52000427246094,148.72000122070312,150.1699981689453,150.85000610351562,36225500,150.85000610351562,2017-05-04,153.75760345458986
841,2017-05-05,151.6300048828125,149.7899932861328,151.4499969482422,150.24000549316406,17148500,150.24000549316406,2017-05-05,168.57532904646135
845,2017-05-11,150.64999389648438,149.41000366210938,150.30999755859375,150.0399932861328,11841900,150.0399932861328,2017-05-11,172.41218592023085
848,2017-05-16,150.2100067138672,149.02999877929688,150.11000061035156,149.77999877929688,14550800,149.77999877929688,2017-05-16,187.06070843844944
854,2017-05-24,150.22999572753906,148.4199981689453,148.50999450683594,150.0399932861328,17862400,150.0399932861328,2017-05-24,172.41218592023085
855,2017-05-25,152.58999633789062,149.9499969482422,150.3000030517578,151.9600067138672,19891400,151.9600067138672,2017-05-25,169.96679779052735
857,2017-05-30,152.89999389648438,151.63999938964844,151.97000122070312,152.3800048828125,13226000,152.3800048828125,2017-05-30,169.22430201212566
861,2017-06-05,154.7100067138672,153.41000366210938,153.63999938964844,153.6300048828125,12520400,153.6300048828125,2017-06-05,159.97347081502278
862,2017-06-06,154.52000427246094,152.47999572753906,153.41000366210938,152.80999755859375,13457100,152.80999755859375,2017-06-06,177.19576955159505
863,2017-06-07,153.75,152.33999633789062,153.27000427246094,153.1199951171875,12066700,153.1199951171875,2017-06-07,217.7287338256836
876,2017-06-26,156.5,153.1999969482422,156.25,153.58999633789062,18049700,153.58999633789062,2017-06-26,161.0053045654297
882,2017-07-05,150.85000610351562,148.1300048828125,149.0,150.33999633789062,14334300,150.33999633789062,2017-07-05,169.50260710398356
892,2017-07-19,165.6999969482422,163.1699981689453,163.58999633789062,164.13999938964844,26273600,164.13999938964844,2017-07-19,173.28863357543946
895,2017-07-24,166.1699981689453,164.30999755859375,164.63999938964844,166.0,17367000,166.0,2017-07-24,187.70160481770833
898,2017-07-27,175.49000549316406,167.5,174.6999969482422,170.44000244140625,68910700,170.44000244140625,2017-07-27,191.19933675130207
899,2017-07-28,173.42999267578125,169.0500030517578,169.07000732421875,172.4499969482422,24557600,172.4499969482422,2017-07-28,165.53848208690826
903,2017-08-03,169.6999969482422,168.25,169.3000030517578,168.58999633789062,10793800,168.58999633789062,2017-08-03,195.6754310099284
905,2017-08-07,172.05999755859375,169.66000366210938,169.9499969482422,171.97999572753906,12787800,171.97999572753906,2017-08-07,190.69119903564453
915,2017-08-21,168.0,165.82000732421875,167.16000366210938,167.77999877929688,11907500,167.77999877929688,2017-08-21,179.47246546427408
925,2017-09-05,172.38999938964844,169.5500030517578,171.27000427246094,170.72000122070312,13210900,170.72000122070312,2017-09-05,196.49593190511067
