,date,open,high,low,close,Adj Close,volume,DATE,Predictions
1898,2021-07-19,81.80000305175781,81.95999908447266,79.72000122070312,81.05000305175781,78.26331329345703,9221300,2021-07-19,84.02574
1899,2021-07-20,81.30000305175781,85.12999725341797,81.0199966430664,84.80000305175781,81.88436889648438,7935000,2021-07-20,81.43623
1900,2021-07-21,85.2699966430664,86.95999908447266,85.05000305175781,86.58000183105469,83.6031723022461,5398300,2021-07-21,84.10378
1901,2021-07-22,86.2699966430664,86.5,85.19000244140625,85.81999969482422,82.86930084228516,4124300,2021-07-22,86.80554
1902,2021-07-23,86.7300033569336,86.7300033569336,85.61000061035156,85.80999755859375,82.85964965820312,2607600,2021-07-23,86.81304
1903,2021-07-26,85.7300033569336,86.19999694824219,85.41999816894531,85.94999694824219,82.99483489990234,3759800,2021-07-26,86.60836
1904,2021-07-27,87.5999984741211,89.45999908447266,87.41000366210938,88.22000122070312,85.18678283691406,8429700,2021-07-27,86.57734
1905,2021-07-28,89.12000274658203,89.12000274658203,86.94999694824219,87.19999694824219,84.20185852050781,5517100,2021-07-28,88.59876
1906,2021-07-29,88.62999725341797,88.6500015258789,87.48999786376953,87.6500015258789,84.63639068603516,4135400,2021-07-29,88.25283
1907,2021-07-30,87.37000274658203,87.76000213623047,86.66000366210938,86.94999694824219,83.96044158935547,4443600,2021-07-30,88.4391
1908,2021-08-02,87.13999938964844,88.73999786376953,86.51000213623047,86.61000061035156,83.63214111328125,4049200,2021-08-02,87.81157
1909,2021-08-03,86.69000244140625,88.0,85.33000183105469,87.97000122070312,84.94538116455078,4629200,2021-08-03,87.2875
1910,2021-08-04,86.87000274658203,87.38999938964844,85.6500015258789,85.81999969482422,82.86930084228516,5286000,2021-08-04,88.36023
1911,2021-08-05,86.41000366210938,87.43000030517578,86.19000244140625,86.87999725341797,83.89285278320312,3604600,2021-08-05,86.79501
1912,2021-08-06,87.44999694824219,87.9800033569336,87.16999816894531,87.58000183105469,84.56878662109375,3020200,2021-08-06,87.211395
1913,2021-08-09,87.05999755859375,87.43000030517578,86.52999877929688,87.08000183105469,84.08598327636719,3265600,2021-08-09,88.026344
1914,2021-08-10,87.19000244140625,88.05999755859375,87.0,87.6500015258789,84.63639068603516,2909100,2021-08-10,87.83021
1915,2021-08-11,87.80999755859375,88.66000366210938,87.43000030517578,88.62000274658203,85.57303619384766,3724800,2021-08-11,88.23137
1916,2021-08-12,88.4000015258789,88.66000366210938,87.37999725341797,87.9800033569336,84.95504760742188,2816500,2021-08-12,89.19959
1917,2021-08-13,88.0999984741211,88.13999938964844,87.13999938964844,87.25,84.25013732910156,3051300,2021-08-13,88.88356
1918,2021-08-16,86.72000122070312,87.26000213623047,85.56999969482422,87.13999938964844,84.14391326904297,3895900,2021-08-16,88.077866
1919,2021-08-17,86.4000015258789,87.16999816894531,85.6500015258789,86.61000061035156,83.63214111328125,3999200,2021-08-17,87.71534
1920,2021-08-18,86.05000305175781,86.91999816894531,85.41000366210938,85.4800033569336,82.54098510742188,4256200,2021-08-18,87.17479
1921,2021-08-19,84.33000183105469,84.83999633789062,82.97000122070312,83.3499984741211,80.96730041503906,5707000,2021-08-19,86.04525
1922,2021-08-20,83.29000091552734,84.4800033569336,83.0,84.05000305175781,81.64730072021484,4502400,2021-08-20,83.84521
1923,2021-08-23,84.58000183105469,85.58000183105469,84.51000213623047,84.95999908447266,82.5312728881836,3367700,2021-08-23,83.85882
1924,2021-08-24,85.11000061035156,86.08000183105469,85.0,85.43000030517578,82.98784637451172,4751800,2021-08-24,84.91018
1925,2021-08-25,85.62000274658203,86.44000244140625,85.0,85.7300033569336,83.27925872802734,3195200,2021-08-25,85.74672
1926,2021-08-26,85.66000366210938,85.80000305175781,84.5199966430664,84.76000213623047,82.33699035644531,2596000,2021-08-26,86.23646
1927,2021-08-27,85.18000030517578,86.13999938964844,85.1500015258789,85.4000015258789,82.95869445800781,3590400,2021-08-27,85.453186
1928,2021-08-30,85.48999786376953,85.5199966430664,84.69999694824219,84.80000305175781,82.37584686279297,2936800,2021-08-30,85.73688
1929,2021-08-31,84.6500015258789,85.41999816894531,84.33999633789062,84.76000213623047,82.33699035644531,3969600,2021-08-31,85.322395
